"filename", "language", "JSON with Comments", "Log", "Python", "Markdown", "JSON", "CSS", "JavaScript", "HTML", "TypeScript", "XML", "TypeScript JSX", "YAML", "comment", "blank", "total"
"c:\Users\micro\git\kiln-web\src\reducers\alertReducer.js", "JavaScript", 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 2, 21
"c:\Users\micro\git\kiln-web\src\reducers\authReducer.js", "JavaScript", 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 23, 5, 70
"c:\Users\micro\git\kiln-web\src\reducers\bartlettReducer.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 1, 4, 42
"c:\Users\micro\git\kiln-web\src\reducers\fakeUIDReducer.js", "JavaScript", 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 3, 13
"c:\Users\micro\git\kiln-web\src\reducers\firingReducer.js", "JavaScript", 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 6, 4, 48
"c:\Users\micro\git\kiln-web\src\reducers\index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 57, 0, 0, 0, 0, 5, 62
"c:\Users\micro\git\kiln-web\src\reducers\inventoryReducer.js", "JavaScript", 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 4, 27
"c:\Users\micro\git\kiln-web\src\reducers\kilnReducer.js", "JavaScript", 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 4, 27
"c:\Users\micro\git\kiln-web\src\reducers\pendingReducer.js", "JavaScript", 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 8, 43
"c:\Users\micro\git\kiln-web\src\reducers\preferencesReducer.js", "JavaScript", 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 3, 19
"c:\Users\micro\git\kiln-web\src\reducers\projectReducer.js", "JavaScript", 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 4, 33
"c:\Users\micro\git\kiln-web\src\reducers\segmentReducer.js", "JavaScript", 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 4, 36
"c:\Users\micro\git\kiln-web\src\reducers\sharedFiringReducer.js", "JavaScript", 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 3, 24
"c:\Users\micro\git\kiln-web\src\reducers\sharedProjectReducer.js", "JavaScript", 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 4, 36
"c:\Users\micro\git\kiln-web\src\reducers\sharedSegmentReducer.js", "JavaScript", 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 4, 48
"c:\Users\micro\git\kiln-web\src\reducers\types.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 81, 0, 0, 0, 1, 8, 90
"c:\Users\micro\git\kiln-web\src\root.js", "JavaScript", 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 3, 3, 21
"c:\Users\micro\git\kiln-web\src\serviceWorker.js", "JavaScript", 0, 0, 0, 0, 0, 0, 102, 0, 0, 0, 0, 0, 31, 13, 146
"c:\Users\micro\git\kiln-web\src\setupTests.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 4, 1, 6
"c:\Users\micro\git\kiln-web\src\store.js", "JavaScript", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 1, 3, 12
"c:\Users\micro\git\kiln-web\src\template_data.json", "JSON", 0, 0, 0, 0, 963, 0, 0, 0, 0, 0, 0, 0, 0, 0, 963
